t_us,volt
33024.0,3.221849
33026.0,3.2291
33028.0,3.237156
33030.0,3.242797
33032.0,3.2476308
33034.0,3.251659
33036.0,3.255687
33038.02,3.259715
33040.0,3.261327
33042.0,3.268578
33044.0,3.2718
33046.0,3.275024
33048.0,3.27744
33050.0,3.279052
33052.0,3.278246
33054.0,3.283885
33056.02,3.285497
33058.0,3.287914
33060.0,3.289525
33062.0,3.291942
33064.0,3.292748
33066.0,3.073554
33068.0,2.808436
33070.0,2.561848
33071.99,2.344265
33074.02,2.141991
33076.0,1.957441
33078.0,1.7890036
33080.0,1.6358752
33082.0,1.49891
33084.0,1.36834
33086.0,1.251517
33088.0,1.1443116
33089.99,1.0460192
33092.02,0.9581504
33094.0,0.8759716
33096.0,0.7953532
33098.0,0.7365392
33100.0,0.6712794
33102.0,0.6156374
33104.0,0.5624626
33106.0,0.5205676
33107.99,0.4714212
33110.02,0.4335544
33112.0,0.3948317
33114.0,0.3634103
33116.0,0.3327946
33118.0,0.302179
33120.02,0.2804257
33122.0,0.2562554
33124.0,0.2353078
33125.99,0.2143602
33128.02,0.2030304
33130.0,0.1820828
33132.0,0.1683863
33134.0,0.15710684
33136.0,0.141799
33138.02,0.1313252
33140.0,0.12004576
33142.0,0.1111833
33143.99,0.1039322
33146.02,0.09345846
33148.0,0.08540166
33150.0,0.07976194
33152.0,0.07492788
33154.0,0.06525976
33156.02,0.06606544
33158.0,0.05881435
33160.0,0.05478598
33161.99,0.0507576
33164.0,0.04672923
33166.0,0.04270084
33168.02,0.04028382
33170.0,0.03625542
33172.0,0.025781632
33174.02,0.03383841
33176.0,0.0306157
33178.0,0.02658732
33180.0,0.02739299
33182.0,0.025781632
33184.0,0.02417028
33186.02,0.02255893
33188.0,0.10876628
33190.0,0.3883863
33192.02,0.641469
33194.0,0.8727484
33196.0,1.082275
33198.0,1.2748816
33200.0,1.448958
33202.0,1.608482
33204.02,1.7519432
33206.0,1.8897636
33208.0,2.012227
33210.0,2.122654
33212.0,2.22417
33214.0,2.316873
33216.0,2.399052
33218.0,2.477252
33220.0,2.548958
33222.02,2.613412
33224.0,2.674643
33226.0,2.726257
33228.0,2.775402
33230.0,2.81891
33232.0,2.85436
33234.0,2.899528
33236.0,2.934978
